YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.9,27.9,27.6,28.3,266452,,PA,PA1,Q047,59,Gender,Female,GEN,FEMALE
2020,2020,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,21.7,21.7,19.9,23.7,4518,"(45.254228894000505, -68.98503133599962)",PA,PA1,Q047,23,Gender,Male,GEN,MALE
2016,2016,WY,Wyoming,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,29.8,29.8,26.9,32.8,2293,"(43.235541343, -108.109830353)",OWS,OWS1,Q037,56,Gender,Female,GEN,FEMALE
2016,2016,NY,New York,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25.9,25.9,24.5,27.3,14316,"(42.827001032, -75.543970427)",OWS,OWS1,Q036,36,Gender,Male,GEN,MALE
2016,2016,AR,Arkansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,38,38,34.4,41.7,1918,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,5,Gender,Male,GEN,MALE
2016,2016,IL,Illinois,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,27.5,27.5,25.4,29.7,2492,"(40.485010283, -88.997710178)",OWS,OWS1,Q037,17,Gender,Female,GEN,FEMALE
2016,2016,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.6,26.6,24.4,28.9,2732,"(43.655950113, -71.50036092)",OWS,OWS1,Q036,33,Gender,Male,GEN,MALE
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.1,29.1,28.7,29.5,176407,,OWS,OWS1,Q036,59,Gender,Male,GEN,MALE
2017,2017,HI,Hawaii,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25.1,25.1,23.2,27.1,3529,"(21.304850435, -157.857749403)",OWS,OWS1,Q036,15,Gender,Male,GEN,MALE
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.6,22.6,19.5,26.1,3064,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,46,Gender,Male,GEN,MALE
2012,2012,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,41.9,41.9,41.4,42.3,185040,,OWS,OWS1,Q037,59,Gender,Male,GEN,MALE
