YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.5,29.5,28,31.1,5154,"(18.220833, -66.590149)",OWS,OWS1,Q036,72,Total,Total,OVR,OVERALL
2016,2016,NM,New Mexico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.3,28.3,26.6,30.1,5531,"(34.520880952, -106.240580985)",OWS,OWS1,Q036,35,Total,Total,OVR,OVERALL
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,10.9,10.9,9.9,12,5296,"(18.220833, -66.590149)",PA,PA1,Q046,72,Total,Total,OVR,OVERALL
2016,2016,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,26.6,26.6,25,28.2,5888,"(43.655950113, -71.50036092)",OWS,OWS1,Q036,33,Total,Total,OVR,OVERALL
2016,2016,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.1,23.1,21.7,24.5,10921,"(34.86597028, -111.763811277)",PA,PA1,Q047,4,Total,Total,OVR,OVERALL
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,30.4,30.4,30.1,30.7,390656,,PA,PA1,Q046,59,Total,Total,OVR,OVERALL
2016,2016,MT,Montana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25.5,25.5,23.9,27.2,5483,"(47.066528972, -109.424420645)",OWS,OWS1,Q036,30,Total,Total,OVR,OVERALL
2017,2017,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25,25,23.8,26.2,7145,"(42.469400913, -93.816490556)",PA,PA1,Q047,19,Total,Total,OVR,OVERALL
2012,2012,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.7,35.7,35.4,36,442230,,OWS,OWS1,Q037,59,Total,Total,OVR,OVERALL
2014,2014,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,37.6,37.6,36,39.2,5743,"(18.220833, -66.590149)",OWS,OWS1,Q037,72,Total,Total,OVR,OVERALL
2016,2016,MA,Massachusetts,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20,20,18.8,21.3,8393,"(42.27687047, -72.082690675)",PA,PA1,Q047,25,Total,Total,OVR,OVERALL
2016,2016,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.3,35.3,32.4,38.2,2739,"(64.845079957001, -147.722059036)",OWS,OWS1,Q037,2,Total,Total,OVR,OVERALL
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,48.1,48.1,46.4,49.7,5301,"(18.220833, -66.590149)",PA,PA1,Q047,72,Total,Total,OVR,OVERALL
2020,2020,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.4,22.4,20.3,24.6,6909,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,46,Total,Total,OVR,OVERALL
2020,2020,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.1,35.1,33.7,36.5,8568,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q037,51,Total,Total,OVR,OVERALL
2020,2020,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,31.9,31.9,29.4,34.4,3335,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Total,Total,OVR,OVERALL
2020,2020,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34.6,34.6,33.2,36.1,9682,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q037,23,Total,Total,OVR,OVERALL
2018,2018,SD,South Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,24,24,22.2,25.9,7088,"(44.353130053000484, -100.3735306369997)",PA,PA1,Q047,46,Total,Total,OVR,OVERALL
2018,2018,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.9,35.9,34.6,37.3,9517,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q037,51,Total,Total,OVR,OVERALL
2018,2018,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.5,29.5,27,32.2,2600,"(64.84507995700051, -147.72205903599973)",OWS,OWS1,Q036,2,Total,Total,OVR,OVERALL
2018,2018,ME,Maine,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.3,35.3,33.8,36.8,10224,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q037,23,Total,Total,OVR,OVERALL
2018,2018,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,24.2,24.2,24,24.5,430259,,PA,PA1,Q047,59,Total,Total,OVR,OVERALL
2018,2018,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.3,35.3,33.7,36.9,13804,"(28.932040377000476, -81.92896053899966)",OWS,OWS1,Q037,12,Total,Total,OVR,OVERALL
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,32.3,32.3,30.9,33.8,6885,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,18,Total,Total,OVR,OVERALL
2018,2018,MD,Maryland,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.9,30.9,29.8,32.1,16029,"(39.29058096400047, -76.60926011099963)",OWS,OWS1,Q036,24,Total,Total,OVR,OVERALL
2013,2013,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,26.3,26.3,25.2,27.4,10564,"(40.793730152, -77.860700294)",PA,PA1,Q047,42,Total,Total,OVR,OVERALL
2018,2018,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.4,35.4,33.6,37.3,5235,"(43.65595011300047, -71.50036091999965)",OWS,OWS1,Q037,33,Total,Total,OVR,OVERALL
2018,2018,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,30.4,30.4,29.1,31.6,9517,"(37.54268067400045, -78.45789046299967)",OWS,OWS1,Q036,51,Total,Total,OVR,OVERALL
2018,2018,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.4,36.4,35.1,37.6,10856,"(37.63864012300047, -120.99999953799971)",OWS,OWS1,Q037,6,Total,Total,OVR,OVERALL
2018,2018,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,32.4,32.4,29.2,35.8,1515,"(13.444304, 144.793731)",OWS,OWS1,Q037,66,Total,Total,OVR,OVERALL
2018,2018,NV,Nevada,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,25,25,22.8,27.3,3220,"(39.493240390000494, -117.07184056399967)",PA,PA1,Q047,32,Total,Total,OVR,OVERALL
2016,2016,NV,Nevada,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.5,36.5,34.3,38.7,3981,"(39.49324039, -117.071840564)",OWS,OWS1,Q037,32,Total,Total,OVR,OVERALL
2018,2018,GU,Guam,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.8,29.8,26.6,33.3,1515,"(13.444304, 144.793731)",OWS,OWS1,Q036,66,Total,Total,OVR,OVERALL
2018,2018,IN,Indiana,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.4,27.4,26.1,28.7,7594,"(39.766910452000445, -86.14996019399968)",PA,PA1,Q047,18,Total,Total,OVR,OVERALL
